"PLU";"Name";"VAT";"Stock group";"PriceType";"Price";"Single Sale";"Turnover";"Sold Qty";"Stock Qty";"Barcode1";"Barcode2";"Barcode3";"Barcode4";
"53";"MG MIVELA 1,35";"Ђ";"1";"1";"80.00";"0";"0";"0";"0";"0";"0";"0";"0";
"54";"PEPSI KOLA 2/1";"Ђ";"1";"1";"140.00";"0";"0";"0";"0";"0";"0";"0";"0";
"55";"HELLO SOK SORTA 1,500";"Ђ";"1";"1";"150.00";"0";"0";"0";"0";"0";"0";"0";"0";
"56";"HELLO SOK 0,500";"Ђ";"1";"1";"80.00";"0";"0";"0";"0";"0";"0";"0";"0";
"57";"ZAJECARSKO PIVO 2/1";"Ђ";"1";"1";"320.00";"0";"0";"0";"0";"0";"0";"0";"0";
"58";"NISKO PIVO 2/1";"Ђ";"1";"1";"240.00";"0";"0";"0";"0";"0";"0";"0";"0";
"59";"MERAK PIVO 2/1";"Ђ";"1";"1";"220.00";"0";"0";"0";"0";"0";"0";"0";"0";
"60";"LA VIVA 2/1";"Ђ";"1";"1";"160.00";"0";"0";"0";"0";"0";"0";"0";"0";
"61";"HEBA KISELA VODA 1,500";"Ђ";"1";"1";"60.00";"0";"0";"0";"0";"0";"0";"0";"0";
"62";"HEBA KISELA VODA 0,500";"Ђ";"1";"1";"45.00";"0";"0";"0";"0";"0";"0";"0";"0";
"63";"BIVODA 2/1";"Ђ";"1";"1";"70.00";"0";"0";"0";"0";"0";"0";"0";"0";
"64";"BI VODA 0,500";"Ђ";"1";"1";"40.00";"0";"0";"0";"0";"0";"0";"0";"0";
"65";"BI VODA 1/1";"Ђ";"1";"1";"45.00";"0";"0";"0";"0";"0";"0";"0";"0";
"66";"VODA VODA 1,500";"Ђ";"1";"1";"65.00";"0";"0";"0";"0";"0";"0";"0";"0";
"67";"VODA VODICA 0,500";"Ђ";"1";"1";"40.00";"0";"0";"0";"0";"0";"0";"0";"0";
"68";"PEPSI LIMENKA 0,330";"Ђ";"1";"1";"70.00";"0";"0";"0";"0";"0";"0";"0";"0";
"69";"PEPSI 0,500";"Ђ";"1";"1";"75.00";"0";"0";"0";"0";"0";"0";"0";"0";
"70";"PEPSI 1,500";"Ђ";"1";"1";"100.00";"0";"0";"0";"0";"0";"0";"0";"0";
"71";"TRAVARICA 1L";"Ђ";"1";"1";"700.00";"0";"0";"0";"0";"0";"0";"0";"0";
"72";"STOMAKLIJA 1L";"Ђ";"1";"1";"1350.00";"0";"0";"0";"0";"0";"0";"0";"0";
"73";"VINJAK 1L";"Ђ";"1";"1";"1350.00";"0";"0";"0";"0";"0";"0";"0";"0";
"74";"BADEL BRENDY 1L";"Ђ";"1";"1";"1200.00";"0";"0";"0";"0";"0";"0";"0";"0";
"75";"GORKI LIST 1L";"Ђ";"1";"1";"1350.00";"0";"0";"0";"0";"0";"0";"0";"0";
"76";"GORKI LIST SA CASOM";"Ђ";"1";"1";"1300.00";"0";"0";"0";"0";"0";"0";"0";"0";
"77";"OUZO 2L";"Ђ";"1";"1";"1700.00";"0";"0";"0";"0";"0";"0";"0";"0";
"78";"OUZO 1L";"Ђ";"1";"1";"850.00";"0";"0";"0";"0";"0";"0";"0";"0";
"79";"OUZO 0,200";"Ђ";"1";"1";"220.00";"0";"0";"0";"0";"0";"0";"0";"0";
"80";"SLJIVOVICA 1L";"Ђ";"1";"1";"550.00";"0";"0";"0";"0";"0";"0";"0";"0";
"81";"ZLATNA TAJNA SORTA 1L";"Ђ";"1";"1";"550.00";"0";"0";"0";"0";"0";"0";"0";"0";
